Date,Product,Category,Price,Sales_Quantity,Revenue,Region,Customer_Rating
05-01-2023,Bingo Chips,Food,240,239,57360,North,3.7
05-01-2023,Yippee Noodles,Food,292,682,199144,North,4.7
05-01-2023,Classmate Notebooks,Stationery,268,408,109344,East,3.7
05-01-2023,Fiama Shower Gel,Personal Care,146,367,53582,East,3.8
05-01-2023,Vivel Soap,Personal Care,243,733,178119,East,3.9
05-01-2023,ITC Master Chef Frozen Foods,Food,169,657,111033,West,4.3
05-01-2023,Engage Deodorants,Personal Care,122,879,107238,West,5
05-01-2023,Candyman Toffees,Food,277,559,154843,East,4.5
06-01-2023,Aashirvaad Atta,Food,122,662,80764,North,3.9
06-01-2023,Sunfeast Biscuits,Food,196,162,31752,West,5
06-01-2023,Bingo Chips,Food,63,904,56952,North,3.9
06-01-2023,Yippee Noodles,Food,135,179,24165,South,4.3
06-01-2023,Classmate Notebooks,Stationery,169,759,128271,West,3.9
06-01-2023,Fiama Shower Gel,Personal Care,212,233,49396,East,3.9
06-01-2023,Vivel Soap,Personal Care,289,886,256054,South,4.4
06-01-2023,ITC Master Chef Frozen Foods,Food,249,193,48057,West,4.8
06-01-2023,Engage Deodorants,Personal Care,196,375,73500,East,4.5
06-01-2023,Candyman Toffees,Food,157,813,127641,East,4.5
07-01-2023,Aashirvaad Atta,Food,156,197,30732,West,4.5
07-01-2023,Sunfeast Biscuits,Food,137,600,82200,North,4.9
07-01-2023,Bingo Chips,Food,276,522,144072,East,3.8
07-01-2023,Yippee Noodles,Food,108,312,33696,South,4.5
07-01-2023,Classmate Notebooks,Stationery,121,621,75141,North,3.9
07-01-2023,Fiama Shower Gel,Personal Care,263,701,184363,West,4.3
07-01-2023,Vivel Soap,Personal Care,18,282,5076,West,4
07-01-2023,ITC Master Chef Frozen Foods,Food,217,180,39060,South,4.8
07-01-2023,Engage Deodorants,Personal Care,129,722,93138,East,4.5
07-01-2023,Candyman Toffees,Food,122,469,57218,West,4.8
08-01-2023,Aashirvaad Atta,Food,263,276,72588,North,4.1
08-01-2023,Sunfeast Biscuits,Food,108,202,21816,West,3.5
08-01-2023,Bingo Chips,Food,203,871,176813,North,4.2
08-01-2023,Yippee Noodles,Food,178,210,37380,South,3.5
08-01-2023,Classmate Notebooks,Stationery,286,865,247390,West,4.6
08-01-2023,Fiama Shower Gel,Personal Care,144,244,35136,North,4.5
08-01-2023,Vivel Soap,Personal Care,185,509,94165,South,4.3
08-01-2023,ITC Master Chef Frozen Foods,Food,31,799,24769,South,4.4
08-01-2023,Engage Deodorants,Personal Care,60,487,29220,East,4.9
08-01-2023,Candyman Toffees,Food,235,326,76610,West,4.3
09-01-2023,Aashirvaad Atta,Food,156,565,88140,North,3.5
09-01-2023,Sunfeast Biscuits,Food,26,221,5746,North,4.9
09-01-2023,Bingo Chips,Food,55,422,23210,West,4.8
09-01-2023,Yippee Noodles,Food,242,86,20812,North,4.9
09-01-2023,Classmate Notebooks,Stationery,190,656,124640,North,4.9
09-01-2023,Fiama Shower Gel,Personal Care,125,240,30000,West,4
09-01-2023,Vivel Soap,Personal Care,170,305,51850,South,4.2
09-01-2023,ITC Master Chef Frozen Foods,Food,290,784,227360,East,4.8
09-01-2023,Engage Deodorants,Personal Care,183,841,153903,East,3.8
09-01-2023,Candyman Toffees,Food,160,688,110080,South,4.3
10-01-2023,Aashirvaad Atta,Food,282,153,43146,East,4.5
10-01-2023,Sunfeast Biscuits,Food,255,225,57375,South,4.3
10-01-2023,Bingo Chips,Food,256,587,150272,North,4.7
10-01-2023,Yippee Noodles,Food,22,877,19294,North,4.3
10-01-2023,Classmate Notebooks,Stationery,45,734,33030,West,3.8
10-01-2023,Fiama Shower Gel,Personal Care,151,932,140732,West,4
10-01-2023,Vivel Soap,Personal Care,297,776,230472,East,4.5
10-01-2023,ITC Master Chef Frozen Foods,Food,162,747,121014,North,4.3
10-01-2023,Engage Deodorants,Personal Care,159,363,57717,North,4.8
10-01-2023,Candyman Toffees,Food,189,731,138159,South,4.7
11-01-2023,Aashirvaad Atta,Food,110,313,34430,West,4.7
11-01-2023,Sunfeast Biscuits,Food,117,54,6318,South,4.2
11-01-2023,Bingo Chips,Food,56,916,51296,West,4.5
11-01-2023,Yippee Noodles,Food,153,318,48654,South,5
11-01-2023,Classmate Notebooks,Stationery,167,708,118236,East,4.7
11-01-2023,Fiama Shower Gel,Personal Care,284,653,185452,South,4.6
11-01-2023,Vivel Soap,Personal Care,238,523,124474,East,4.9
11-01-2023,ITC Master Chef Frozen Foods,Food,136,442,60112,North,4.5
11-01-2023,Engage Deodorants,Personal Care,67,683,45761,South,3.7
11-01-2023,Candyman Toffees,Food,105,687,72135,North,3.6
12-01-2023,Aashirvaad Atta,Food,246,934,229764,North,4.5
12-01-2023,Sunfeast Biscuits,Food,201,496,99696,North,4.2
12-01-2023,Bingo Chips,Food,256,125,32000,East,4.3
12-01-2023,Yippee Noodles,Food,95,746,70870,West,4
12-01-2023,Classmate Notebooks,Stationery,78,96,7488,South,3.6
12-01-2023,Fiama Shower Gel,Personal Care,213,961,204693,West,3.6
12-01-2023,Vivel Soap,Personal Care,48,661,31728,South,3.8
12-01-2023,ITC Master Chef Frozen Foods,Food,32,811,25952,North,4.4
12-01-2023,Engage Deodorants,Personal Care,109,851,92759,South,3.9
12-01-2023,Candyman Toffees,Food,259,708,183372,North,4.3
13-01-2023,Aashirvaad Atta,Food,13,65,845,East,3.6
13-01-2023,Sunfeast Biscuits,Food,267,546,145782,West,4.8
13-01-2023,Bingo Chips,Food,161,957,154077,West,4.1
13-01-2023,Yippee Noodles,Food,42,978,41076,East,4.7
13-01-2023,Classmate Notebooks,Stationery,110,317,34870,North,4.1
13-01-2023,Fiama Shower Gel,Personal Care,177,891,157707,North,3.8
13-01-2023,Vivel Soap,Personal Care,21,656,13776,North,4.1
13-01-2023,ITC Master Chef Frozen Foods,Food,251,84,21084,South,4
13-01-2023,Engage Deodorants,Personal Care,273,654,178542,South,4.8
13-01-2023,Candyman Toffees,Food,124,666,82584,South,4.2
14-01-2023,Aashirvaad Atta,Food,123,542,66666,West,4.9
14-01-2023,Sunfeast Biscuits,Food,226,326,73676,West,5
14-01-2023,Bingo Chips,Food,201,788,158388,West,5
14-01-2023,Yippee Noodles,Food,45,145,6525,South,4
14-01-2023,Classmate Notebooks,Stationery,233,86,20038,East,3.9
14-01-2023,Fiama Shower Gel,Personal Care,22,328,7216,North,4.6
14-01-2023,Vivel Soap,Personal Care,295,322,94990,West,4.3
14-01-2023,ITC Master Chef Frozen Foods,Food,226,391,88366,East,3.9
14-01-2023,Engage Deodorants,Personal Care,186,661,122946,North,3.5
14-01-2023,Candyman Toffees,Food,85,314,26690,South,4
15-01-2023,Aashirvaad Atta,Food,232,433,100456,South,4.2
15-01-2023,Sunfeast Biscuits,Food,153,934,142902,West,3.6
15-01-2023,Bingo Chips,Food,34,997,33898,West,4.5
15-01-2023,Yippee Noodles,Food,62,200,12400,East,4.7
15-01-2023,Classmate Notebooks,Stationery,118,742,87556,East,4.2
15-01-2023,Fiama Shower Gel,Personal Care,232,683,158456,East,4.2
15-01-2023,Vivel Soap,Personal Care,230,284,65320,East,4.6
15-01-2023,ITC Master Chef Frozen Foods,Food,85,58,4930,West,4.6
15-01-2023,Engage Deodorants,Personal Care,262,279,73098,North,3.6
15-01-2023,Candyman Toffees,Food,177,219,38763,East,4.1
16-01-2023,Aashirvaad Atta,Food,131,243,31833,North,3.6
16-01-2023,Sunfeast Biscuits,Food,145,545,79025,South,4.8
16-01-2023,Bingo Chips,Food,154,560,86240,North,4.9
16-01-2023,Yippee Noodles,Food,141,853,120273,East,4.1
16-01-2023,Classmate Notebooks,Stationery,284,494,140296,East,4.1
16-01-2023,Fiama Shower Gel,Personal Care,100,763,76300,East,4.9
16-01-2023,Vivel Soap,Personal Care,135,500,67500,South,3.9
16-01-2023,ITC Master Chef Frozen Foods,Food,229,687,157323,West,3.6
16-01-2023,Engage Deodorants,Personal Care,10,436,4360,South,4.4
16-01-2023,Candyman Toffees,Food,200,557,111400,West,3.9
17-01-2023,Aashirvaad Atta,Food,126,183,23058,North,4.7
17-01-2023,Sunfeast Biscuits,Food,169,222,37518,North,3.6
17-01-2023,Bingo Chips,Food,89,935,83215,West,4.9
17-01-2023,Yippee Noodles,Food,238,725,172550,West,4.3
17-01-2023,Classmate Notebooks,Stationery,56,282,15792,East,3.8
17-01-2023,Fiama Shower Gel,Personal Care,10,422,4220,East,4.5
17-01-2023,Vivel Soap,Personal Care,153,520,79560,West,3.6
17-01-2023,ITC Master Chef Frozen Foods,Food,233,833,194089,West,4.8
17-01-2023,Engage Deodorants,Personal Care,165,422,69630,West,3.9
17-01-2023,Candyman Toffees,Food,173,139,24047,West,4.1
18-01-2023,Aashirvaad Atta,Food,187,589,110143,North,3.6
18-01-2023,Sunfeast Biscuits,Food,237,753,178461,East,4.2
18-01-2023,Bingo Chips,Food,154,250,38500,West,4
18-01-2023,Yippee Noodles,Food,229,801,183429,South,3.7
18-01-2023,Classmate Notebooks,Stationery,44,302,13288,East,4.9
18-01-2023,Fiama Shower Gel,Personal Care,265,758,200870,South,4.4
18-01-2023,Vivel Soap,Personal Care,19,873,16587,East,4.8
18-01-2023,ITC Master Chef Frozen Foods,Food,14,168,2352,South,4.1
18-01-2023,Engage Deodorants,Personal Care,74,195,14430,North,5
18-01-2023,Candyman Toffees,Food,276,902,248952,North,4.6
19-01-2023,Aashirvaad Atta,Food,292,738,215496,South,4.8
19-01-2023,Sunfeast Biscuits,Food,114,148,16872,North,3.7
19-01-2023,Bingo Chips,Food,15,525,7875,East,4.7
19-01-2023,Yippee Noodles,Food,142,919,130498,East,4.9
19-01-2023,Classmate Notebooks,Stationery,62,726,45012,East,4.6
19-01-2023,Fiama Shower Gel,Personal Care,154,134,20636,South,4.2
19-01-2023,Vivel Soap,Personal Care,10,100,1000,West,3.9
19-01-2023,ITC Master Chef Frozen Foods,Food,297,83,24651,West,4
19-01-2023,Engage Deodorants,Personal Care,48,203,9744,South,4.2
19-01-2023,Candyman Toffees,Food,127,820,104140,West,4.3
20-01-2023,Aashirvaad Atta,Food,63,285,17955,South,4.3
20-01-2023,Sunfeast Biscuits,Food,260,874,227240,East,4.4
20-01-2023,Bingo Chips,Food,216,278,60048,South,4.4
20-01-2023,Yippee Noodles,Food,84,484,40656,West,4.9
20-01-2023,Classmate Notebooks,Stationery,261,787,205407,South,4
20-01-2023,Fiama Shower Gel,Personal Care,295,384,113280,East,4.2
20-01-2023,Vivel Soap,Personal Care,258,215,55470,East,4.2
20-01-2023,ITC Master Chef Frozen Foods,Food,39,808,31512,North,4.3
20-01-2023,Engage Deodorants,Personal Care,142,846,120132,West,3.7
20-01-2023,Candyman Toffees,Food,282,557,157074,North,3.6
21-01-2023,Aashirvaad Atta,Food,43,823,35389,North,4.2
21-01-2023,Sunfeast Biscuits,Food,135,796,107460,East,4.4
21-01-2023,Bingo Chips,Food,120,810,97200,West,4.2
21-01-2023,Yippee Noodles,Food,104,423,43992,West,4.5
21-01-2023,Classmate Notebooks,Stationery,193,330,63690,East,4.8
21-01-2023,Fiama Shower Gel,Personal Care,164,142,23288,North,5
21-01-2023,Vivel Soap,Personal Care,131,100,13100,North,3.6
21-01-2023,ITC Master Chef Frozen Foods,Food,101,731,73831,North,3.8
21-01-2023,Engage Deodorants,Personal Care,10,694,6940,South,4.2
21-01-2023,Candyman Toffees,Food,55,595,32725,South,3.7
22-01-2023,Aashirvaad Atta,Food,82,843,69126,North,4.7
22-01-2023,Sunfeast Biscuits,Food,223,288,64224,East,4.3
22-01-2023,Bingo Chips,Food,57,622,35454,West,3.5
22-01-2023,Yippee Noodles,Food,266,57,15162,North,4.6
22-01-2023,Classmate Notebooks,Stationery,189,768,145152,West,4.3
22-01-2023,Fiama Shower Gel,Personal Care,223,575,128225,East,4.4
22-01-2023,Vivel Soap,Personal Care,87,265,23055,South,4.6
22-01-2023,ITC Master Chef Frozen Foods,Food,23,748,17204,East,3.9
22-01-2023,Engage Deodorants,Personal Care,12,672,8064,East,4.8
22-01-2023,Candyman Toffees,Food,248,557,138136,South,3.7
23-01-2023,Aashirvaad Atta,Food,236,932,219952,North,3.9
23-01-2023,Sunfeast Biscuits,Food,128,534,68352,East,3.8
23-01-2023,Bingo Chips,Food,282,280,78960,South,3.6
23-01-2023,Yippee Noodles,Food,34,194,6596,North,4
23-01-2023,Classmate Notebooks,Stationery,77,443,34111,North,4.7
23-01-2023,Fiama Shower Gel,Personal Care,155,160,24800,South,4.4
23-01-2023,Vivel Soap,Personal Care,43,672,28896,North,4.6
23-01-2023,ITC Master Chef Frozen Foods,Food,245,644,157780,North,4.1
23-01-2023,Engage Deodorants,Personal Care,15,741,11115,South,4.5
23-01-2023,Candyman Toffees,Food,238,426,101388,South,3.9
24-01-2023,Aashirvaad Atta,Food,286,759,217074,West,4
24-01-2023,Sunfeast Biscuits,Food,13,399,5187,South,3.8
24-01-2023,Bingo Chips,Food,104,713,74152,East,4.8
24-01-2023,Yippee Noodles,Food,252,592,149184,West,4.1
24-01-2023,Classmate Notebooks,Stationery,232,55,12760,West,4.1
24-01-2023,Fiama Shower Gel,Personal Care,84,53,4452,South,3.5
24-01-2023,Vivel Soap,Personal Care,103,553,56959,South,4.6
24-01-2023,ITC Master Chef Frozen Foods,Food,203,896,181888,South,4.3
24-01-2023,Engage Deodorants,Personal Care,182,349,63518,South,3.8
24-01-2023,Candyman Toffees,Food,127,885,112395,North,4.1
25-01-2023,Aashirvaad Atta,Food,29,162,4698,North,4.3
25-01-2023,Sunfeast Biscuits,Food,99,703,69597,North,3.9
25-01-2023,Bingo Chips,Food,148,560,82880,East,4.2
25-01-2023,Yippee Noodles,Food,268,722,193496,West,4.1
25-01-2023,Classmate Notebooks,Stationery,19,310,5890,West,3.6
25-01-2023,Fiama Shower Gel,Personal Care,22,217,4774,North,4.7
25-01-2023,Vivel Soap,Personal Care,110,378,41580,East,4.6
25-01-2023,ITC Master Chef Frozen Foods,Food,47,468,21996,North,4
25-01-2023,Engage Deodorants,Personal Care,78,367,28626,South,4.6
25-01-2023,Candyman Toffees,Food,146,979,142934,East,3.8
26-01-2023,Aashirvaad Atta,Food,10,345,3450,West,4.6
26-01-2023,Sunfeast Biscuits,Food,276,922,254472,West,4.6
26-01-2023,Bingo Chips,Food,295,340,100300,North,3.7
26-01-2023,Yippee Noodles,Food,87,459,39933,North,4.9
26-01-2023,Classmate Notebooks,Stationery,246,91,22386,West,4.1
26-01-2023,Fiama Shower Gel,Personal Care,113,575,64975,North,4.8
26-01-2023,Vivel Soap,Personal Care,32,624,19968,North,4.3
26-01-2023,ITC Master Chef Frozen Foods,Food,154,274,42196,South,4.1
26-01-2023,Engage Deodorants,Personal Care,113,153,17289,East,4.4
26-01-2023,Candyman Toffees,Food,207,695,143865,East,4
27-01-2023,Aashirvaad Atta,Food,51,497,25347,East,3.8
27-01-2023,Sunfeast Biscuits,Food,166,338,56108,East,4.3
27-01-2023,Bingo Chips,Food,166,599,99434,North,4.6
27-01-2023,Yippee Noodles,Food,298,303,90294,South,3.8
27-01-2023,Classmate Notebooks,Stationery,19,566,10754,North,4.8
27-01-2023,Fiama Shower Gel,Personal Care,127,855,108585,East,4.3
27-01-2023,Vivel Soap,Personal Care,237,926,219462,West,3.7
27-01-2023,ITC Master Chef Frozen Foods,Food,24,206,4944,North,4.3
27-01-2023,Engage Deodorants,Personal Care,56,373,20888,South,4.6
27-01-2023,Candyman Toffees,Food,104,676,70304,West,4.5
28-01-2023,Aashirvaad Atta,Food,291,860,250260,West,4.4
28-01-2023,Sunfeast Biscuits,Food,20,303,6060,South,4.9
28-01-2023,Bingo Chips,Food,143,761,108823,South,4.1
28-01-2023,Yippee Noodles,Food,227,190,43130,South,3.7
28-01-2023,Classmate Notebooks,Stationery,120,665,79800,West,4.8
28-01-2023,Fiama Shower Gel,Personal Care,142,937,133054,East,3.5
28-01-2023,Vivel Soap,Personal Care,115,653,75095,North,4.1
28-01-2023,ITC Master Chef Frozen Foods,Food,60,78,4680,North,3.7
28-01-2023,Engage Deodorants,Personal Care,223,828,184644,South,4.2
28-01-2023,Candyman Toffees,Food,110,454,49940,West,3.7
29-01-2023,Aashirvaad Atta,Food,191,874,166934,South,4
29-01-2023,Sunfeast Biscuits,Food,64,420,26880,North,4.4
29-01-2023,Bingo Chips,Food,146,251,36646,North,4.7
29-01-2023,Yippee Noodles,Food,163,986,160718,West,3.7
29-01-2023,Classmate Notebooks,Stationery,34,651,22134,South,4.9
29-01-2023,Fiama Shower Gel,Personal Care,219,524,114756,North,4.6
29-01-2023,Vivel Soap,Personal Care,137,988,135356,East,3.5
29-01-2023,ITC Master Chef Frozen Foods,Food,188,231,43428,East,3.8
29-01-2023,Engage Deodorants,Personal Care,189,759,143451,North,3.6
29-01-2023,Candyman Toffees,Food,186,334,62124,South,4.4
30-01-2023,Aashirvaad Atta,Food,163,205,33415,North,3.8
30-01-2023,Sunfeast Biscuits,Food,93,410,38130,South,3.7
30-01-2023,Bingo Chips,Food,72,750,54000,East,3.8
30-01-2023,Yippee Noodles,Food,266,785,208810,East,3.6
30-01-2023,Classmate Notebooks,Stationery,220,367,80740,North,3.8
30-01-2023,Fiama Shower Gel,Personal Care,295,193,56935,South,4.3
30-01-2023,Vivel Soap,Personal Care,266,639,169974,South,4.6
30-01-2023,ITC Master Chef Frozen Foods,Food,203,551,111853,South,4.2
30-01-2023,Engage Deodorants,Personal Care,231,727,167937,West,4.6
30-01-2023,Candyman Toffees,Food,273,974,265902,East,3.6
31-01-2023,Aashirvaad Atta,Food,297,827,245619,South,3.9
31-01-2023,Sunfeast Biscuits,Food,171,429,73359,East,4.7
31-01-2023,Bingo Chips,Food,297,227,67419,West,4.8
31-01-2023,Yippee Noodles,Food,256,884,226304,East,3.8
31-01-2023,Classmate Notebooks,Stationery,264,377,99528,East,3.7
31-01-2023,Fiama Shower Gel,Personal Care,238,628,149464,West,4.8
31-01-2023,Vivel Soap,Personal Care,273,467,127491,West,4.7
31-01-2023,ITC Master Chef Frozen Foods,Food,87,337,29319,East,4.8
31-01-2023,Engage Deodorants,Personal Care,174,231,40194,East,3.8
31-01-2023,Candyman Toffees,Food,16,379,6064,East,3.6
01-02-2023,Aashirvaad Atta,Food,94,196,18424,East,3.7
01-02-2023,Sunfeast Biscuits,Food,45,334,15030,South,4.1
01-02-2023,Bingo Chips,Food,206,965,198790,East,4
01-02-2023,Yippee Noodles,Food,204,520,106080,West,3.6
01-02-2023,Classmate Notebooks,Stationery,270,854,230580,South,4.1
01-02-2023,Fiama Shower Gel,Personal Care,235,102,23970,West,3.9
01-02-2023,Vivel Soap,Personal Care,289,642,185538,West,4.8
01-02-2023,ITC Master Chef Frozen Foods,Food,68,776,52768,North,4.7
01-02-2023,Engage Deodorants,Personal Care,124,258,31992,West,3.9
01-02-2023,Candyman Toffees,Food,246,330,81180,South,3.9
02-02-2023,Aashirvaad Atta,Food,287,284,81508,South,4.1
02-02-2023,Sunfeast Biscuits,Food,38,158,6004,North,4.5
02-02-2023,Bingo Chips,Food,84,887,74508,North,4.9
02-02-2023,Yippee Noodles,Food,51,405,20655,South,4.2
02-02-2023,Classmate Notebooks,Stationery,26,726,18876,South,4.5
02-02-2023,Fiama Shower Gel,Personal Care,85,648,55080,South,3.7
02-02-2023,Vivel Soap,Personal Care,36,874,31464,East,3.9
02-02-2023,ITC Master Chef Frozen Foods,Food,177,659,116643,North,4.4
02-02-2023,Engage Deodorants,Personal Care,182,450,81900,West,4.1
02-02-2023,Candyman Toffees,Food,199,683,135917,South,4.1
03-02-2023,Aashirvaad Atta,Food,202,868,175336,East,3.6
03-02-2023,Sunfeast Biscuits,Food,291,78,22698,West,4.1
03-02-2023,Bingo Chips,Food,20,561,11220,East,4.9
03-02-2023,Yippee Noodles,Food,241,276,66516,East,4.9
03-02-2023,Classmate Notebooks,Stationery,120,713,85560,North,4.9
03-02-2023,Fiama Shower Gel,Personal Care,298,811,241678,West,3.5
03-02-2023,Vivel Soap,Personal Care,236,293,69148,South,3.6
03-02-2023,ITC Master Chef Frozen Foods,Food,210,203,42630,North,4.2
03-02-2023,Engage Deodorants,Personal Care,210,345,72450,North,4.6
03-02-2023,Candyman Toffees,Food,70,988,69160,North,4.4
04-02-2023,Aashirvaad Atta,Food,48,852,40896,North,4.7
04-02-2023,Sunfeast Biscuits,Food,117,221,25857,South,5
04-02-2023,Bingo Chips,Food,21,324,6804,East,4
04-02-2023,Yippee Noodles,Food,26,379,9854,North,4.5
04-02-2023,Classmate Notebooks,Stationery,21,367,7707,East,4.9
04-02-2023,Fiama Shower Gel,Personal Care,273,710,193830,North,4.6
04-02-2023,Vivel Soap,Personal Care,207,249,51543,North,3.9
04-02-2023,ITC Master Chef Frozen Foods,Food,277,704,195008,North,4.5
04-02-2023,Engage Deodorants,Personal Care,35,96,3360,West,3.6
04-02-2023,Candyman Toffees,Food,208,450,93600,North,3.8
05-02-2023,Aashirvaad Atta,Food,95,299,28405,East,4
05-02-2023,Sunfeast Biscuits,Food,126,568,71568,West,3.9
05-02-2023,Bingo Chips,Food,224,526,117824,South,4.2
05-02-2023,Yippee Noodles,Food,112,322,36064,West,4.5
05-02-2023,Classmate Notebooks,Stationery,117,237,27729,East,4.2
05-02-2023,Fiama Shower Gel,Personal Care,180,985,177300,East,4.2
05-02-2023,Vivel Soap,Personal Care,48,576,27648,West,4.7
05-02-2023,ITC Master Chef Frozen Foods,Food,219,210,45990,South,4.8
05-02-2023,Engage Deodorants,Personal Care,117,943,110331,East,4.1
05-02-2023,Candyman Toffees,Food,179,595,106505,East,3.5
06-02-2023,Aashirvaad Atta,Food,278,190,52820,West,4.1
06-02-2023,Sunfeast Biscuits,Food,236,940,221840,West,5
06-02-2023,Bingo Chips,Food,38,526,19988,West,3.6
06-02-2023,Yippee Noodles,Food,194,321,62274,East,4.8
06-02-2023,Classmate Notebooks,Stationery,275,975,268125,East,4.1
06-02-2023,Fiama Shower Gel,Personal Care,74,738,54612,South,3.7
06-02-2023,Vivel Soap,Personal Care,167,373,62291,North,4.6
06-02-2023,ITC Master Chef Frozen Foods,Food,162,481,77922,South,3.5
06-02-2023,Engage Deodorants,Personal Care,82,448,36736,West,4.1
06-02-2023,Candyman Toffees,Food,149,236,35164,North,4.9
07-02-2023,Aashirvaad Atta,Food,207,856,177192,South,4.8
07-02-2023,Sunfeast Biscuits,Food,20,111,2220,North,4.4
07-02-2023,Bingo Chips,Food,208,613,127504,West,3.6
07-02-2023,Yippee Noodles,Food,157,910,142870,North,4.5
07-02-2023,Classmate Notebooks,Stationery,252,542,136584,East,3.7
07-02-2023,Fiama Shower Gel,Personal Care,235,874,205390,North,3.8
07-02-2023,Vivel Soap,Personal Care,268,937,251116,North,4
07-02-2023,ITC Master Chef Frozen Foods,Food,63,96,6048,North,3.8
07-02-2023,Engage Deodorants,Personal Care,108,69,7452,North,5
07-02-2023,Candyman Toffees,Food,187,899,168113,West,4.5
08-02-2023,Aashirvaad Atta,Food,12,209,2508,North,4.2
08-02-2023,Sunfeast Biscuits,Food,129,942,121518,North,4.3
08-02-2023,Bingo Chips,Food,77,959,73843,East,4.8
08-02-2023,Yippee Noodles,Food,114,372,42408,North,3.9
08-02-2023,Classmate Notebooks,Stationery,146,244,35624,West,4.9
08-02-2023,Fiama Shower Gel,Personal Care,179,570,102030,North,4
08-02-2023,Vivel Soap,Personal Care,270,444,119880,West,3.6
08-02-2023,ITC Master Chef Frozen Foods,Food,133,87,11571,North,3.9
08-02-2023,Engage Deodorants,Personal Care,185,651,120435,North,4.3
08-02-2023,Candyman Toffees,Food,185,845,156325,North,3.6
09-02-2023,Aashirvaad Atta,Food,123,89,10947,South,4.8
09-02-2023,Sunfeast Biscuits,Food,124,747,92628,West,4.4
09-02-2023,Bingo Chips,Food,49,908,44492,North,4.8
09-02-2023,Yippee Noodles,Food,271,265,71815,West,4.7
09-02-2023,Classmate Notebooks,Stationery,101,402,40602,West,3.7
09-02-2023,Fiama Shower Gel,Personal Care,178,830,147740,North,4.8
09-02-2023,Vivel Soap,Personal Care,190,219,41610,East,3.7
09-02-2023,ITC Master Chef Frozen Foods,Food,197,56,11032,North,4.8
09-02-2023,Engage Deodorants,Personal Care,258,80,20640,South,4.7
09-02-2023,Candyman Toffees,Food,169,412,69628,East,3.8
10-02-2023,Aashirvaad Atta,Food,91,405,36855,North,4.3
10-02-2023,Sunfeast Biscuits,Food,21,344,7224,North,3.8
10-02-2023,Bingo Chips,Food,55,716,39380,North,5
10-02-2023,Yippee Noodles,Food,232,915,212280,West,4.5
10-02-2023,Classmate Notebooks,Stationery,172,375,64500,East,3.9
10-02-2023,Fiama Shower Gel,Personal Care,83,282,23406,East,4.9
